Année,Homme,Femme,Total,Nb cigarrette fumé par jour,Nb cigarette fumé sur l'année,Nb cigarrette fumé par jour,Nb cigarette fumé sur l'année,Nb cigarrette fumé par jour,Nb cigarette fumé sur l'année,Longeur en KM du nombre de cigarette fumée par jour,Longeur en KM du nombre de cigarette fumée sur l'année,Poids en KG du nombre de cigarette fumée par jour,Poids en KG du nombre de cigarette fumée sur l'année
1992,3373916,3534043,6907959,21238801,7752162445,12581193,4592135474,33819994,12344297920,2435,888789,13528,4937719
1993,3403863,3564707,6968570,,,,,,,,,,
1994,3428368,3590651,7019019,,,,,,,,,,
1995,3448842,3613512,7019019,,,,,,,,,,
1996,3457621,3457621,7081346,,,,,,,,,,
1997,3465243,3631222,7096465,21120656,7709039471,14361483,5241941299,35482139,12950980770,2555,932471,14193,5180392
1998,3478689,3644848,7123537,,,,,,,,,,
1999,3500708,3663736,7164444,,,,,,,,,,
2000,3519698,3684357,7204055,,,,,,,,,,
2001,3544349,3711304,7255653,,,,,,,,,,
2002,3575029,3738824,7313853,19323032,7052906587,13085884,4776347660,32408916,11829254247,2333,851706,12964,4731702
2003,3601539,3762609,7364148,,,,,,,,,,
2004,3628696,3786406,7415102,,,,,,,,,,
2005,3652502,3806626,7459128,,,,,,,,,,
2006,3679359,3829380,7508739,,,,,,,,,,
2007,3727014,3866480,7593494,16361591,5971980883,11193460,4085612754,27555051,10057593637,1984,724147,11022,4023037
2008,3786675,3915181,7701856,,,,,,,,,,
2009,3830566,3955240,7785806,,,,,,,,,,
2010,3871489,3992523,7864012,,,,,,,,,,
2011,3922253,4032409,7954662,,,,,,,,,,
2012,3968524,4070536,8039060,17144024,6257568643,11560322,4219517618,28704346,10477086261,2067,754350,11482,4190835
2013,4022091,4117540,8139631,,,,,,,,,,
2014,4073880,4163786,8237666,,,,,,,,,,
2015,4121471,4205655,8327126,,,,,,,,,,
2016,4173437,4246113,8419550,,,,,,,,,,
2017,4206434,4277696,8484130,16552318,6041595993,10972290,4004885938,27524608,10046481931,1982,723347,11010,4018593
